Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-05,32.37,32.55,32.22,32.36,72274300,0.0,0.0
2010-08-06,32.13,32.34,31.86,32.17,111224400,0.0,0.0
2010-08-09,32.34,32.42,32.1,32.37,75782000,0.0,0.0
2010-08-10,32.14,32.21,31.85,32.08,112980000,0.0,0.0
2010-08-11,31.59,31.62,30.89,30.94,155013600,0.0,0.0
2010-08-12,30.51,31.3,30.44,31.14,133730100,0.0,0.0
2010-08-13,31.12,31.15,30.81,30.81,88717300,0.0,0.0
2010-08-16,30.62,30.92,30.5,30.63,79607500,0.0,0.0
2010-08-17,30.93,31.49,30.82,31.16,105660100,0.0,0.0
2010-08-18,31.21,31.5,31.11,31.3,84924000,0.0,0.0
2010-08-19,31.27,31.35,30.75,30.9,106676500,0.0,0.0
2010-08-20,30.84,31.4,30.79,30.87,96057500,0.0,0.0
2010-08-23,31.14,31.17,30.33,30.4,103510400,0.0,0.0
2010-08-24,30.01,30.05,29.51,29.67,150641400,0.0,0.0
2010-08-25,29.44,30.17,29.33,30.04,149216900,0.0,0.0
2010-08-26,30.36,30.39,29.72,29.72,116626300,0.0,0.0
2010-08-27,29.9,30.0,29.13,29.88,137097800,0.0,0.0
2010-08-30,29.78,30.39,29.77,29.99,95822300,0.0,0.0
2010-08-31,29.91,30.24,29.72,30.06,105196700,0.0,0.0
2010-09-01,30.6,31.1,30.46,30.96,174259400,0.0,0.0
2010-09-02,31.07,31.19,30.74,31.19,103856900,0.0,0.0
2010-09-03,31.55,32.0,31.47,32.0,130197200,0.0,0.0
2010-09-07,31.74,32.1,31.69,31.88,85639400,0.0,0.0
2010-09-08,32.13,32.7,32.04,32.52,131637800,0.0,0.0
2010-09-09,32.78,32.96,32.52,32.53,109643800,0.0,0.0
2010-09-10,32.55,32.71,32.33,32.58,96885600,0.0,0.0
2010-09-13,32.87,33.18,32.87,33.03,97195000,0.0,0.0
2010-09-14,32.92,33.29,32.84,33.15,102037600,0.0,0.0
2010-09-15,33.16,33.44,33.12,33.42,107342200,0.0,0.0
2010-09-16,33.42,34.22,33.33,34.2,163025800,0.0,0.0
2010-09-17,34.34,34.38,33.85,34.06,158619300,0.0,0.0
2010-09-20,34.14,35.1,34.11,35.03,164669400,0.0,0.0
2010-09-21,35.11,35.54,34.97,35.09,167018600,0.0,0.0
2010-09-22,34.96,35.61,34.93,35.59,146322400,0.0,0.0
2010-09-23,35.41,36.21,35.37,35.73,196529200,0.0,0.0
2010-09-24,36.12,36.3,35.93,36.15,162372000,0.0,0.0
2010-09-27,36.36,36.45,35.99,36.01,120708700,0.0,0.0
2010-09-28,36.08,36.08,34.01,35.48,258760600,0.0,0.0
2010-09-29,35.52,35.84,35.37,35.54,117411000,0.0,0.0
2010-09-30,35.74,35.86,34.78,35.09,168347900,0.0,0.0
2010-10-01,35.39,35.44,34.79,34.94,112035700,0.0,0.0
2010-10-04,34.83,34.99,34.35,34.46,108825500,0.0,0.0
2010-10-05,34.88,35.8,34.85,35.73,125491800,0.0,0.0
2010-10-06,35.81,36.11,35.28,35.76,167717200,0.0,0.0
2010-10-07,35.91,35.92,35.48,35.77,102099900,0.0,0.0
2010-10-08,36.08,36.42,35.86,36.37,164600800,0.0,0.0
2010-10-11,36.45,36.76,36.43,36.53,106938300,0.0,0.0
2010-10-12,36.53,37.04,36.17,36.92,139636000,0.0,0.0
2010-10-13,37.13,37.34,37.08,37.12,157523100,0.0,0.0
2010-10-14,37.31,37.41,37.15,37.39,108824100,0.0,0.0
2010-10-15,38.02,38.96,37.71,38.92,230548500,0.0,0.0
2010-10-18,39.39,39.45,38.87,39.33,273252700,0.0,0.0
2010-10-19,37.52,38.8,37.1,38.27,308196000,0.0,0.0
2010-10-20,38.21,38.86,37.95,38.4,180406100,0.0,0.0
2010-10-21,38.63,38.92,37.94,38.28,137865000,0.0,0.0
2010-10-22,38.22,38.34,37.88,38.03,93194500,0.0,0.0
2010-10-25,38.23,38.54,38.15,38.19,98115500,0.0,0.0
2010-10-26,37.95,38.31,37.8,38.1,98232400,0.0,0.0
2010-10-27,38.05,38.33,37.79,38.07,99750700,0.0,0.0
2010-10-28,38.08,38.09,37.21,37.75,137762800,0.0,0.0
2010-10-29,37.62,37.83,37.21,37.22,107627800,0.0,0.0
2010-11-01,37.38,37.79,37.37,37.62,105972300,0.0,0.0
2010-11-02,37.97,38.36,37.97,38.26,108482500,0.0,0.0
2010-11-03,38.51,38.69,38.16,38.68,127087100,0.0,0.0
2010-11-04,39.01,39.6,38.96,39.36,160622000,0.0,0.0
2010-11-05,39.33,39.52,39.17,39.22,90313300,0.0,0.0
2010-11-08,39.23,39.55,39.17,39.4,70439600,0.0,0.0
2010-11-09,39.7,39.74,38.89,39.09,95886000,0.0,0.0
2010-11-10,39.16,39.42,38.78,39.33,96056800,0.0,0.0
2010-11-11,38.96,39.38,38.86,39.16,90321000,0.0,0.0
2010-11-12,39.08,39.14,37.55,38.09,198961700,0.0,0.0
2010-11-15,38.15,38.4,37.88,37.97,100901500,0.0,0.0
2010-11-16,37.81,38.04,37.02,37.3,164412500,0.0,0.0
2010-11-17,37.25,37.59,36.82,37.16,119862400,0.0,0.0
2010-11-18,37.74,38.3,37.68,38.14,123622800,0.0,0.0
2010-11-19,38.09,38.14,37.75,37.93,96210800,0.0,0.0
2010-11-22,37.93,38.75,37.83,38.75,98268800,0.0,0.0
2010-11-23,38.39,38.55,37.91,38.18,129861900,0.0,0.0
2010-11-24,38.59,39.01,38.55,38.93,103431300,0.0,0.0
2010-11-26,38.8,39.29,38.7,38.96,59396400,0.0,0.0
2010-11-29,39.02,39.26,38.51,39.19,111446300,0.0,0.0
2010-11-30,38.78,38.88,38.45,38.48,125464500,0.0,0.0
2010-12-01,38.99,39.3,38.96,39.13,115437700,0.0,0.0
2010-12-02,39.27,39.45,38.94,39.35,115709300,0.0,0.0
2010-12-03,39.2,39.41,39.12,39.26,85523200,0.0,0.0
2010-12-06,39.41,39.86,39.38,39.59,112120400,0.0,0.0
2010-12-07,40.04,40.07,39.34,39.35,97863500,0.0,0.0
2010-12-08,39.53,39.7,39.22,39.7,80483900,0.0,0.0
2010-12-09,39.84,39.88,39.45,39.55,73537800,0.0,0.0
2010-12-10,39.53,39.7,39.4,39.64,65627800,0.0,0.0
2010-12-13,40.12,40.2,39.7,39.78,109953900,0.0,0.0
2010-12-14,39.79,39.89,39.45,39.61,87752000,0.0,0.0
2010-12-15,39.57,39.95,39.47,39.62,104328000,0.0,0.0
2010-12-16,39.71,39.9,39.59,39.73,80507700,0.0,0.0
2010-12-17,39.78,39.8,39.6,39.65,96732300,0.0,0.0
2010-12-20,39.77,39.98,39.36,39.85,96402600,0.0,0.0
2010-12-21,39.95,40.12,39.83,40.09,64088500,0.0,0.0
2010-12-22,40.11,40.28,40.01,40.21,66480400,0.0,0.0
2010-12-23,40.19,40.21,39.97,40.02,55789300,0.0,0.0
2010-12-27,39.93,40.25,39.76,40.15,62454000,0.0,0.0
2010-12-28,40.31,40.4,40.2,40.25,43981000,0.0,0.0
2010-12-29,40.34,40.37,40.21,40.23,40784800,0.0,0.0
2010-12-30,40.25,40.26,39.95,40.03,39373600,0.0,0.0
2010-12-31,39.94,40.01,39.74,39.89,48377000,0.0,0.0
2011-01-03,40.27,40.84,40.17,40.76,111284600,0.0,0.0
2011-01-04,41.11,41.12,40.58,40.97,77270200,0.0,0.0
2011-01-05,40.76,41.35,40.75,41.31,63879900,0.0,0.0
2011-01-06,41.4,41.46,41.17,41.27,75107200,0.0,0.0
2011-01-07,41.3,41.6,41.05,41.57,77982800,0.0,0.0
2011-01-10,41.9,42.45,41.7,42.35,112140000,0.0,0.0
2011-01-11,42.65,42.66,41.98,42.25,111027000,0.0,0.0
2011-01-12,42.45,42.6,42.3,42.59,75647600,0.0,0.0
2011-01-13,42.69,42.87,42.52,42.75,74195100,0.0,0.0
2011-01-14,42.78,43.1,42.6,43.1,77210000,0.0,0.0
2011-01-18,40.75,42.64,40.32,42.13,470249500,0.0,0.0
2011-01-19,43.08,43.11,41.66,41.9,283903200,0.0,0.0
2011-01-20,41.61,41.84,40.83,41.14,191197300,0.0,0.0
2011-01-21,41.28,41.41,40.39,40.41,188600300,0.0,0.0
2011-01-24,40.42,41.73,40.41,41.73,143670800,0.0,0.0
2011-01-25,41.59,42.23,41.38,42.22,136717000,0.0,0.0
2011-01-26,42.41,42.74,42.23,42.52,126718900,0.0,0.0
2011-01-27,42.52,42.63,42.4,42.45,71256500,0.0,0.0
2011-01-28,42.56,42.59,41.25,41.57,148014300,0.0,0.0
2011-01-31,41.53,42.05,41.34,41.96,94311700,0.0,0.0
2011-02-01,42.21,42.75,42.17,42.67,106658300,0.0,0.0
2011-02-02,42.6,42.7,42.49,42.58,64738800,0.0,0.0
