Predicted,Actual
102.756996,109.35
103.07126,109.94
103.47489,108.86
103.95453,109.64
104.487076,108.46
105.04495,109.94
105.60664,111.76
106.16179,109.99
106.69367,110.34
107.19181,111.44
107.64925,110.29
108.05639,110.97
108.41021,112.4
108.71519,114.28
108.98903,113.62
109.24685,111.81
109.48623,111.35
109.699646,110.44
109.871605,110.17
109.98726,109.97
110.034996,111.07
110.01659,110.3
109.932915,110.71
109.79511,110.04
109.6099,110.23
109.38919,109.74
109.14454,109.43
108.87753,110.28
108.6017,110.35
108.332825,110.36
108.08182,109.86
107.85211,109.7
107.647865,109.6
107.4705,108.4
107.31167,107.84
107.16252,107.91
107.01198,109.25
106.86224,108.33
106.71181,107.1
106.558655,107.39
106.396866,108.74
106.23728,107.42
106.0798,106.75
105.92325,107.47
105.76874,108.4
105.62751,109.75
105.51017,110.06
105.43683,111.08
105.42178,111.77
105.481575,112.92
105.629654,113.37
105.871574,114.97
106.2147,113.28
106.65025,115.63
107.167145,114.7
107.74971,113.72
108.36522,112.57
108.97555,114.33
109.558876,114.54
110.09354,110.29
110.5435,109.77
110.87854,109.73
111.07389,112.09
111.13228,113.82
111.07924,114.45
110.954605,115.11
110.79962,116.71
110.65532,114.65
110.54587,114.76
110.48206,110.4
110.44324,110.62
110.401115,112.2
110.342476,111.16
110.252144,113.94
110.13839,112.93
110.0083,114.53
109.880264,113.46
109.765656,113.46
109.670525,114.28
109.604195,115.14
109.57656,115.87
109.59853,115.68
109.67435,114.81
109.798294,115.13
109.96269,114.2
110.15002,114.24
110.34215,113.72
110.51932,111.29
110.65753,110.29
110.72898,110.03
110.7106,110.95
110.59626,111.37
110.39883,112.07
110.137764,113.47
109.84295,114.54
109.55173,114.35
109.2956,113.34
109.09405,109.85
108.93573,112.49
108.81617,110.64
108.72047,111.61
108.64025,111.64
108.56773,111.51
108.503525,111.01
108.43696,110.93
108.36923,109.53
108.291245,108.67
108.19119,107.44
108.049965,105.18
107.84888,101.98
107.56397,99.28
107.155594,103.15
106.622826,105.98
105.99503,107.79
105.32736,106.79
104.67253,107.17
104.07543,106.64
103.565956,108.58
103.1779,110.45
102.93516,110.45
102.86017,110.64
102.94919,110.83
103.19176,110.3
103.569725,110.94
104.05101,110.1
104.60651,109.38
105.19275,110.51
105.78197,109.28
106.340836,109.85
106.8453,109.66
107.27922,110.12
107.63608,109.42
107.91307,109.31
108.110794,108.97
108.22951,108.77
108.27496,110.62
108.26242,110.06
108.20905,110.67
108.135605,112.48
108.06562,109.71
108.00603,109.13
107.95294,110.42
107.907524,108.88
107.86192,107.92
107.80225,108.52
107.72063,110.05
107.62246,111.55
107.52469,112.23
107.451096,112.03
107.41059,113.25
107.42574,114.22
107.50829,112.28
107.657166,111.73
107.858154,111.54
108.09123,112.08
108.33739,113.04
108.58738,112.85
108.83161,112.62
109.06248,113.46
109.27904,112.09
109.47472,112.66
109.64409,113.33
109.77953,113.45
109.88685,112.74
109.96848,113.12
110.030426,111.67
110.065575,111.59
110.06934,108.98
110.021255,108.77
109.906166,107.02
109.70943,107.18
109.42269,107.09
109.04781,109.12
108.60697,109.26
108.12781,110.21
107.64754,110.24
107.19863,111.78
106.812416,111.34
106.51596,111.87
106.32252,113.58
106.24781,113.61
106.296936,114.21
106.47071,116.16
106.768814,116.31
107.18565,126.37
107.76092,129.47
108.54437,130.16
109.57666,128.24
110.85154,130.18
112.34064,130.31
114.00004,131.78
115.76678,131.5
117.56806,133.73
119.34769,137.03
121.067635,140.47
122.71396,137.44
124.25706,135.83
125.65488,133.75
126.85519,133.59
127.813644,130.94
128.48456,133.72
128.85968,131.89
128.94536,133.4
128.7674,131.4
128.35501,129.91
127.73614,131.91
126.95531,130.95
126.05836,133.66
125.10403,132.64
124.14206,132.63
123.21793,132.95
122.36395,132.2
121.60124,131.11
120.93629,131.49
120.37041,131.6
119.89871,130.37
119.5119,130.29
119.19353,129.38
118.92996,130.43
118.707085,131.84
118.53005,133.78
118.41115,134.86
118.372406,135.94
118.4316,137.2
118.612434,135.93
118.91373,133.46
119.31037,136.28
119.778,140.33
120.32118,139.11
120.92983,140.28
121.59348,137.83
122.28734,140.27
122.9897,140.24
123.67752,138.43
124.32399,137.34
124.875046,138.67
125.324615,139.3
125.66919,137.73
125.90437,138.75
126.02524,139.69
126.04985,140.98
126.00138,140.58
125.90702,141.33
125.78658,139.23
125.64641,141.55
125.50183,143.15
125.38636,143.29
125.31431,144.27
125.30177,143.89
125.3501,143.74
125.45949,141.61
125.596275,141.39
125.74132,140.41
125.85651,140.81
125.92565,140.56
125.931915,140.56
125.86207,142.88
125.73692,144.72
125.58027,144.89
125.43224,144.13
125.312416,142.49
125.22371,140.15
125.15076,138.31
125.06291,139.57
124.93646,134.13
124.73125,137.08
124.43554,136.28
124.04441,136.49
123.57125,134.2
123.02063,134.26
122.40698,132.7
121.741776,133.22
121.04611,135.98
120.35792,132.54
119.698006,133.81
119.09469,135.39
118.57822,134.7
118.156334,133.39
117.831856,134.96
117.62307,133.26
117.51585,137.3
117.5269,137.47
117.651955,135.56
117.88708,135.93
118.21959,138.09
118.63803,138.3
119.12632,138.75
119.6749,137.3
120.26517,134.75
120.84935,136.03
121.3943,137.03
121.8794,135.48
122.28846,134.99
122.60287,135.6
122.82393,136.18
122.948326,132.24
122.96858,131.2
122.87622,133.21
122.67652,131.01
122.37727,132.35
121.99613,129.33
121.54488,129.57
121.03111,130.02
120.47482,127.74
119.88327,127.83
119.26958,127.92
118.648254,129.49
118.04049,129.13
117.472275,128.33
116.964424,128.45
116.53151,129.52
116.18903,129.35
115.94677,129.24
115.80563,128.99
115.75423,131.74
115.812744,131.58
115.96474,130.66
116.209816,132.36
116.53961,131.66
116.94554,130.74
117.39846,129.72
117.86988,130.67
118.3297,129.72
118.74808,128.92
119.11419,128.76
119.39965,130.21
119.60252,133.32
119.75143,131.98
119.86816,130.82
119.95784,131.56
120.03706,139.38
120.14527,136.68
120.32297,137.21
120.593666,137.75
120.95973,147.12
121.46447,146.26
122.1419,143.89
122.983246,147.3
123.97775,147.21
125.09488,146.28
126.27528,146.33
127.45952,147.91
128.6013,150.85
129.67096,151.39
130.6489,150.58
131.51619,152.03
132.2714,146.86
132.87253,148.41
133.29117,147.8
133.51941,147.52
133.54663,147.08
133.38535,144.39
133.03046,146.51
132.50395,147.04
131.84552,147.43
131.0933,147.59
130.2913,148.1
129.48056,147.77
128.70018,146.18
127.9696,147.15
127.30312,145.91
126.703316,144.58
126.16503,145.4
125.683014,146.05
125.25754,145.75
124.88265,143.67
124.5533,145.29
124.26843,146.4
124.028725,145.54
123.842384,145.99
123.71302,145.49
123.63913,146.47
123.61758,145.3
123.64617,144.75
123.7119,143.41
123.792465,145.71
123.87814,145.09
123.960815,145.54
124.0516,144.24
124.143196,144.45
124.22573,143.6
124.27495,141.4
124.2988,135.86
124.24312,136.5
124.073746,138.6
123.76591,135.09
123.33938,138.4
122.82181,139.79
122.24354,145.49
121.69236,146.6
121.25184,141.92
120.95755,141.89
120.818214,141.03
120.81963,142.85
120.95406,141.34
121.19649,141.17
121.5082,141.1
121.87131,139.02
122.22798,139.63
122.551674,141.63
122.831,139.86
123.05576,132.9
123.18687,133.75
123.18024,126.12
122.98243,119.81
122.52253,114.51
121.73272,119.13
120.60729,121.15
119.19647,118.96
117.57034,116.86
115.7938,110.76
113.91794,108.69
111.97802,108.1
110.00465,108.42
108.040886,97.62
106.08589,100.78
104.15342,91.8
102.21546,95.8
100.279175,87.59
98.33665,88.0
96.38321,95.99
94.468925,84.49
92.60502,92.33
90.84,100.66
89.25757,100.83
87.94652,100.45
86.9655,96.0
86.34131,100.22
86.07961,93.5
86.1418,94.2
86.46329,96.31
86.98952,97.26
87.67444,104.86
88.518364,100.53
89.48952,107.92
90.595634,104.71
91.837364,105.5
93.18584,104.39
94.608116,103.53
96.05028,106.21
97.48004,103.58
98.85712,100.01
100.11566,101.8
101.211464,100.65
102.108284,101.78
102.79619,102.0
103.279526,108.79
103.60943,109.94
103.85329,109.44
104.06752,106.36
104.27824,102.01
104.475,101.51
104.63467,101.48
104.72457,101.85
104.733284,109.05
104.68889,108.4
104.6274,109.06
104.57792,104.5
104.54862,101.98
104.52446,104.98
104.49621,114.47
104.51102,115.1
104.61688,116.42
104.86079,119.34
105.28725,117.5
105.922714,121.05
106.75673,123.68
107.804726,121.6
109.02126,116.19
110.34123,117.26
111.6676,119.0
112.921684,119.99
114.07709,121.95
115.08769,126.31
115.96947,125.1
116.74981,125.63
117.4468,124.02
118.06806,117.6
118.56508,115.17
118.896805,112.08
118.99613,121.24
118.87364,118.64
118.5564,116.88
118.06533,119.98
117.464005,114.19
116.76163,116.96
116.0039,115.85
115.213844,108.99
114.384865,110.95
113.51469,109.0
112.59486,111.5
111.64889,112.82
110.70993,115.0
109.81733,113.83
109.01486,113.63
108.327934,113.48
107.775154,116.51
107.368385,116.83
107.13332,119.94
107.0939,115.23
107.23935,121.63
107.573845,117.72
108.06532,118.9
108.68232,118.05
109.38372,118.05
110.11537,118.19
110.85277,118.86
111.56325,115.7
112.21509,117.2
112.777725,115.46
113.217636,116.22
113.51527,114.91
