Predicted,Actual
215.46324,222.03
216.53957,220.01
217.66495,222.69
218.78065,225.53
219.87457,225.78
220.94312,227.69
221.9996,228.61
223.05684,228.65
224.11089,230.09
225.15854,229.13
226.17267,224.74
227.06165,225.23
227.7494,224.94
228.18861,227.93
228.40385,228.76
228.455,227.06
228.38522,221.9
228.16649,220.47
227.75745,218.42
227.11774,220.34
226.26677,221.61
225.27545,223.38
224.25163,224.93
223.31372,226.05
222.56757,228.54
222.10825,229.66
221.9972,228.03
222.22354,227.68
222.72565,233.51
223.49258,233.31
224.49606,232.11
225.66913,230.31
226.90356,229.18
228.08064,228.45
229.09406,228.44
229.87463,226.56
230.3701,226.52
230.56487,222.34
230.42848,222.57
229.96472,221.21
229.20145,220.81
228.18855,221.12
227.00305,220.11
225.7207,221.6
224.4345,228.44
223.31004,229.46
222.49843,226.26
222.04921,226.17
221.94783,224.55
222.1196,220.51
222.42155,217.6
222.68703,218.05
222.79865,217.15
222.68886,219.53
222.37236,220.98
221.91959,219.77
221.39865,216.16
220.82544,216.87
220.2168,215.18
219.57309,206.47
218.7958,209.16
217.84132,206.71
216.6881,211.43
215.41129,212.57
214.12856,219.29
213.03064,217.13
212.24702,218.74
211.85925,208.77
211.76671,210.26
211.84424,203.64
211.90182,203.12
211.78378,206.42
211.44398,208.19
210.92255,213.88
210.36098,217.61
209.94354,221.7
209.85783,220.08
210.19531,219.95
210.95712,221.74
212.09859,222.66
213.54056,223.32
215.1859,213.98
216.81003,197.02
217.99896,198.79
218.45833,194.51
218.01247,195.6
216.66046,194.54
214.52107,188.06
211.71982,185.15
208.3964,184.69
204.71875,184.27
200.87234,186.42
197.06871,187.8
193.51755,189.71
190.41031,184.43
187.82448,187.75
185.80844,184.55
184.33452,175.49
183.24002,177.93
182.37994,172.85
181.59288,176.28
180.80232,172.75
179.9515,172.1
179.01465,168.73
177.96465,163.94
176.75043,164.31
175.35666,166.06
173.8281,162.97
172.2095,162.83
170.55421,153.88
168.82889,151.94
166.98773,154.96
165.04706,160.31
163.1206,158.51
161.3208,159.04
159.74673,165.16
158.52803,167.42
157.78404,169.59
157.59686,172.05
158.00972,170.43
158.97835,170.0
160.39273,169.46
162.10129,168.9
163.93782,172.58
165.79192,180.98
167.67503,189.64
169.71126,193.93
172.0447,194.04
174.74309,191.19
177.7427,189.9
180.88559,193.39
184.02359,191.61
186.99518,192.59
189.67146,194.43
191.98447,193.66
193.89326,191.62
195.36118,189.49
196.35287,191.74
196.89153,190.83
197.02422,188.99
196.79692,185.55
196.22932,186.67
195.36963,186.83
194.28929,189.61
193.10336,186.02
191.88467,186.99
190.69945,190.33
189.63875,192.33
188.79904,192.56
188.24815,190.27
187.9855,191.62
187.98872,192.08
188.22049,192.88
188.64098,192.44
189.19836,193.13
189.84515,193.18
190.5372,190.31
191.2009,190.36
191.7709,187.67
192.17372,185.01
192.3312,191.65
192.28017,190.45
192.08118,192.15
191.8183,191.74
191.55966,191.58
191.35126,193.54
191.24017,199.08
191.31601,194.66
191.59065,187.44
191.95003,187.22
192.26216,183.97
192.38982,184.65
192.2539,185.21
191.842,185.34
191.19202,187.23
190.39175,188.51
189.55222,190.69
188.79588,193.61
188.24908,195.12
188.01167,197.63
188.1574,197.05
188.69585,195.54
189.5623,196.09
190.66194,198.45
191.91614,201.14
193.27988,198.33
194.6756,193.97
195.97105,196.25
197.07707,201.23
198.00069,199.32
198.75548,198.47
199.34831,197.26
199.77336,194.05
199.99147,196.02
200.0008,197.74
199.84264,201.08
199.61232,200.56
199.39404,198.65
199.22388,200.18
199.12883,197.06
199.08281,197.59
199.05562,195.7
198.9999,193.86
198.85884,195.29
198.61351,192.3
198.23732,189.47
197.69131,189.13
196.95872,191.07
196.0776,190.75
195.10698,191.51
194.1216,193.04
193.20992,191.85
192.42847,187.54
191.76039,187.43
191.16934,186.57
190.61414,183.25
190.03082,183.59
189.3804,180.35
188.61652,177.35
187.68889,181.73
186.63188,185.55
185.55592,183.56
184.5565,185.34
183.72354,186.82
183.13368,190.63
182.87065,188.98
182.95818,185.86
183.33542,186.72
183.91827,187.43
184.62605,186.11
185.37148,190.68
186.13222,192.78
186.92688,190.67
187.74759,191.83
188.58438,192.78
189.42957,191.8
190.25607,192.85
191.04353,198.63
191.8407,203.03
192.74353,200.49
193.7864,202.34
194.97704,201.91
196.28151,201.42
197.63335,198.88
198.92668,202.23
200.10335,201.27
201.11845,206.93
202.01146,208.99
202.85667,209.66
203.71953,208.72
204.62003,207.62
205.53264,208.9
206.42784,208.3
207.2657,209.81
208.02734,214.01
208.75098,216.47
209.50307,215.18
210.31238,215.71
211.18134,213.26
212.05774,215.95
212.91096,214.1
213.69246,206.52
214.26784,200.9
214.46182,198.69
214.14145,196.3
213.23843,202.22
211.84497,200.7
210.10442,198.42
208.15228,196.69
206.10028,195.02
204.03174,191.22
201.97667,192.32
199.97386,198.94
198.14641,195.42
196.57388,197.89
195.33093,197.44
194.4535,196.01
193.92485,193.53
193.67145,195.54
193.63051,191.87
193.70384,197.78
193.87363,201.21
194.18094,197.52
194.61885,197.91
195.16211,201.62
195.81627,203.38
196.59946,205.5
197.53668,209.7
198.67699,211.38
200.0537,212.53
201.66615,216.43
203.51654,213.95
205.53482,211.96
207.59076,211.01
209.53505,213.71
211.27583,210.84
212.72163,209.06
213.79512,210.23
214.47371,204.26
214.70602,205.33
214.49274,206.12
213.89122,205.98
212.99083,203.33
211.86353,198.1
210.52386,194.09
208.9499,193.49
207.14171,197.22
205.1831,194.08
203.15373,194.66
201.14395,194.07
199.23566,200.1
197.5658,200.2
196.25053,198.41
195.33832,202.5
194.8733,204.58
194.88274,201.34
195.31187,204.96
196.10478,205.86
197.19728,205.5
198.50468,207.85
199.95961,206.44
201.47527,212.47
203.03787,213.36
204.64783,213.16
206.28398,211.32
207.88486,211.43
209.37881,215.79
210.75516,216.87
212.02731,214.13
213.1721,216.84
214.19025,219.03
215.11343,216.97
215.94003,214.67
216.6284,214.5
217.13873,214.9
217.45354,216.09
217.59027,215.82
217.57878,216.64
217.46466,214.48
217.26562,214.71
216.99811,214.12
216.67331,216.96
216.33824,218.72
216.06126,219.47
215.90468,218.17
215.88835,218.26
216.00415,212.79
216.16092,210.92
216.24524,214.49
216.21635,217.26
216.10912,221.86
216.03201,218.95
216.04652,219.53
216.18501,219.19
216.44562,223.94
216.86313,225.7
217.47597,227.18
218.30948,229.13
219.37352,228.12
220.629,228.13
222.00417,226.85
223.39839,226.17
224.70404,227.44
225.85144,228.97
226.8201,228.84
227.6081,226.9
228.19926,228.17
228.6046,228.76
228.8522,227.11
228.95467,232.12
228.98914,232.79
229.0358,238.38
229.2224,239.78
229.65132,241.45
230.38531,242.31
231.43364,239.04
232.70752,243.98
234.14835,247.16
235.72752,244.18
237.36317,243.59
238.95474,241.5
240.38177,242.07
241.55772,233.47
242.32674,236.56
242.62991,241.52
242.54283,234.78
242.09894,239.03
241.40155,235.44
240.52032,239.9
239.57648,241.99
238.70787,242.34
238.02336,236.81
237.51671,234.49
237.11674,236.07
236.77135,235.09
236.43523,234.94
236.0824,235.02
235.70618,233.65
235.29941,232.12
234.84718,233.51
234.36362,228.08
233.80814,220.5
233.05847,222.03
232.05476,216.02
230.7277,207.91
228.97578,197.85
226.65633,200.16
223.75824,207.7
220.46834,204.56
217.00195,200.08
213.52533,189.5
210.06357,172.5
206.44559,180.49
202.63203,177.37
198.64854,159.01
194.39636,161.81
189.86433,149.3
185.00845,156.02
179.9256,149.07
174.72424,136.53
169.42792,148.06
164.19081,135.18
159.09239,143.42
154.28148,153.64
150.01396,155.4
146.54082,158.09
144.05876,157.54
142.65607,157.15
142.30354,145.19
142.75533,142.13
143.67235,148.27
144.8003,154.5
146.0251,164.97
147.40297,167.5
149.04257,179.46
151.13849,182.71
153.84808,181.22
157.19325,169.57
160.93164,176.12
164.81123,182.35
168.66345,178.58
172.31061,174.35
175.5504,176.4
178.24892,175.9
180.33348,175.9
181.7911,177.99
182.68124,187.98
183.20827,191.41
183.61761,184.84
184.0256,177.89
184.39163,173.91
184.59029,177.99
184.55751,178.56
184.2851,178.07
183.79897,183.88
183.21082,181.41
182.61133,182.75
182.08101,174.57
181.58449,167.99
180.9924,172.4
180.2421,176.61
179.37163,179.44
178.48726,179.83
177.70299,179.08
177.09781,178.91
176.70847,184.48
176.6005,201.74
177.00414,209.53
178.19295,197.23
180.16885,197.31
182.77391,203.77
185.84773,208.49
189.25598,208.79
192.85704,222.0
196.65417,220.02
200.60606,215.74
204.56189,217.39
208.35548,204.7
211.67137,200.62
214.19685,195.73
215.68845,214.98
216.28723,210.0
216.18944,203.99
215.53696,207.05
214.49722,200.99
213.16084,206.5
211.66832,202.34
210.10736,197.86
208.49467,199.0
206.85829,191.38
205.14934,193.84
203.36374,198.88
201.59248,202.5
199.98822,201.34
198.67197,205.5
197.76526,199.54
197.26721,202.11
197.14984,196.87
197.29565,209.0
197.71722,211.43
198.46564,224.37
199.71661,213.51
201.45158,214.9
203.56488,210.73
205.8494,212.25
208.1102,210.5
210.1638,205.1
211.8144,203.0
212.90701,200.1
213.34184,201.91
213.13254,201.7
212.36519,199.5
211.14537,199.84
209.60341,198.49
207.86182,199.35
206.04764,203.17
204.32045,205.0
