Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-09,134.71,134.94,133.55,134.25,4209800,0.0,0
2010-08-10,133.06,133.71,132.33,132.95,5861700,0.0,0
2010-08-11,131.07,131.31,128.64,128.94,7734400,0.0,0
2010-08-12,127.69,130.09,127.69,129.08,4949300,0.0,0
2010-08-13,129.05,129.97,127.93,127.93,4218700,0.0,0
2010-08-16,127.49,128.88,126.99,127.65,3760100,0.0,0
2010-08-17,128.44,129.4,127.98,128.37,4391600,0.0,0
2010-08-18,128.32,129.53,127.62,128.89,4460600,0.0,0
2010-08-19,128.44,129.29,126.37,127.04,5290900,0.0,0
2010-08-20,127.37,128.69,127.21,128.06,5276800,0.0,0
2010-08-23,127.96,128.29,126.65,126.77,3729200,0.0,0
2010-08-24,125.09,125.69,124.25,124.36,6372300,0.0,0
2010-08-25,123.37,125.55,123.32,124.99,5638400,0.0,0
2010-08-26,125.21,125.4,122.38,122.51,6818100,0.0,0
2010-08-27,121.92,122.45,119.43,120.73,11252000,0.0,0
2010-08-30,120.24,121.34,118.35,118.36,6205800,0.35,0
2010-08-31,118.0,119.53,117.6,118.59,7064100,0.0,0
2010-09-01,120.39,121.54,119.34,121.02,6897700,0.0,0
2010-09-02,121.19,121.38,119.91,121.06,4992000,0.0,0
2010-09-03,122.65,128.17,122.4,127.56,13588500,0.0,0
2010-09-07,126.58,126.65,124.84,125.76,6211300,0.0,0
2010-09-08,125.91,129.62,125.89,127.78,8310300,0.0,0
2010-09-09,129.73,130.5,128.61,129.16,6729800,0.0,0
2010-09-10,129.44,130.56,128.88,130.25,4417200,0.0,0
2010-09-13,131.92,133.98,131.9,133.69,7653600,0.0,0
2010-09-14,132.98,133.16,131.84,132.1,5688200,0.0,0
2010-09-15,131.36,132.33,130.49,132.13,5698200,0.0,0
2010-09-16,131.88,132.06,130.91,131.84,4388600,0.0,0
2010-09-17,131.74,132.05,130.39,130.76,4835600,0.0,0
2010-09-20,130.76,131.99,129.81,131.56,5640500,0.0,0
2010-09-21,131.74,133.87,130.85,131.12,6876000,0.0,0
2010-09-22,129.87,130.39,127.91,128.24,8986100,0.0,0
2010-09-23,126.76,127.2,124.7,125.5,9152400,0.0,0
2010-09-24,126.66,127.83,126.29,127.55,5623700,0.0,0
2010-09-27,127.32,128.53,126.25,126.45,5205900,0.0,0
2010-09-28,126.89,127.04,124.77,125.59,5504800,0.0,0
2010-09-29,125.6,125.6,123.45,125.08,6944900,0.0,0
2010-09-30,125.8,127.29,124.97,125.22,6854400,0.0,0
2010-10-01,125.75,128.61,125.42,127.92,7439800,0.0,0
2010-10-04,127.92,128.58,125.32,126.94,5866700,0.0,0
2010-10-05,127.8,130.15,126.51,129.54,8724700,0.0,0
2010-10-06,129.69,131.93,129.16,130.64,6330600,0.0,0
2010-10-07,131.74,131.95,129.94,130.87,4471500,0.0,0
2010-10-08,130.91,132.85,130.45,132.21,5225100,0.0,0
2010-10-11,132.22,132.59,131.01,131.81,4454400,0.0,0
2010-10-12,131.04,134.63,130.78,134.42,6378000,0.0,0
2010-10-13,135.37,135.7,133.71,134.01,5626200,0.0,0
2010-10-14,133.57,133.63,130.39,131.29,6891100,0.0,0
2010-10-15,132.24,132.24,130.48,130.51,6901500,0.0,0
2010-10-18,130.72,133.7,130.65,133.11,6972300,0.0,0
2010-10-19,134.36,138.31,133.47,135.73,14491200,0.0,0
2010-10-20,135.29,138.79,134.12,138.22,10631200,0.0,0
2010-10-21,138.21,139.87,136.92,137.96,6350900,0.0,0
2010-10-22,138.48,138.55,136.41,136.63,4051700,0.0,0
2010-10-25,138.02,138.09,135.34,136.31,5728300,0.0,0
2010-10-26,135.73,137.47,135.57,137.09,4068500,0.0,0
2010-10-27,136.14,139.08,135.97,138.7,6570900,0.0,0
