Predicted,Actual
130.10228,128.95
130.79823,132.85
131.30716,133.51
131.7092,131.5
132.01266,131.82
132.21884,131.2
132.3143,132.47
132.33124,131.99
132.29416,130.11
132.1751,130.96
131.98143,130.07
131.71576,128.37
131.3526,128.71
130.90149,132.04
130.48122,131.77
130.19073,132.38
130.09782,132.18
130.21248,131.24
130.4761,130.93
130.80394,129.88
131.0937,129.47
131.26599,131.13
131.3307,131.51
131.33527,132.94
131.36263,133.51
131.48347,132.62
131.70103,131.73
131.96031,132.12
132.21165,133.46
132.45453,133.47
132.6938,133.4
132.92616,133.54
133.14569,132.35
133.31134,132.59
133.39893,131.87
133.38478,133.41
133.30882,132.55
133.19533,133.15
133.08037,132.61
132.97702,132.94
132.89899,133.83
132.87688,135.19
132.96393,134.82
133.17262,134.2
133.46489,134.99
133.80916,135.86
134.19498,137.58
134.65263,137.24
135.17834,136.16
135.70824,138.42
136.23882,138.06
136.75276,137.29
137.2016,137.79
137.55885,138.95
137.84676,139.87
138.1151,137.77
138.33247,137.06
138.44353,134.88
138.35754,134.5
138.0326,133.97
137.47966,129.54
136.64522,128.17
135.51398,127.5
134.13704,129.82
132.68127,123.42
131.16899,120.55
129.56793,118.66
127.85562,117.69
126.05383,117.18
124.22679,119.14
122.506134,115.58
120.94816,113.72
119.550995,108.39
118.21134,109.43
116.87738,105.8
115.491066,104.9
114.030815,106.73
112.55662,105.45
111.135826,109.63
109.902504,112.43
109.017426,112.83
108.589096,113.7
108.65711,113.6
109.17704,111.47
109.99658,111.4
110.93318,110.07
111.80041,111.2
112.48836,111.88
112.96484,108.99
113.186455,108.18
113.12965,108.62
112.82271,108.88
112.332985,108.89
111.74143,111.31
111.16786,112.62
110.73307,111.91
110.49818,115.6
110.540924,114.51
110.86917,110.12
111.346634,113.97
111.893616,110.14
112.38087,113.37
112.77171,112.69
113.056496,111.54
113.21978,109.92
113.22876,109.52
113.06689,107.53
112.712395,107.76
112.18195,106.42
111.50105,103.48
110.66654,101.09
109.661125,99.34
108.47833,101.17
107.18368,105.06
105.93191,104.24
104.85581,103.03
104.02117,105.35
103.48083,105.7
103.25601,108.08
103.36688,110.07
103.83022,111.22
104.6374,110.45
105.71346,111.83
106.96703,110.85
108.27135,111.26
109.509026,111.83
110.599655,110.89
111.475945,113.39
112.152145,113.42
112.666695,120.84
113.20716,122.0
113.94761,122.22
114.96801,122.43
116.24671,123.52
117.708626,123.26
119.22876,123.67
120.680374,124.15
121.96678,123.28
123.00149,124.43
123.766,124.38
124.276474,124.27
124.56628,123.15
124.65264,124.96
124.607124,125.76
124.52125,127.41
124.503456,127.64
124.625,128.02
124.913765,128.24
125.3567,129.12
125.92956,128.25
126.56386,129.09
127.205124,130.28
127.83679,129.97
128.435,129.58
128.963,129.13
129.37883,129.63
129.67151,130.27
129.8651,128.76
129.95093,128.53
129.92258,127.12
129.7559,124.89
129.39972,126.58
128.8908,128.9
128.35709,128.46
127.904945,128.89
127.61021,129.69
127.522644,130.12
127.65709,131.17
128.01286,130.77
128.54106,129.44
129.13156,131.18
129.72406,129.4
130.22975,130.21
130.607,130.66
130.85785,130.19
130.98985,130.74
131.03429,131.68
131.04852,133.39
131.1208,133.67
131.31088,133.65
131.62929,133.34
132.03853,133.09
132.47443,132.75
132.86655,132.32
133.15332,133.81
133.34499,134.24
133.48111,134.37
133.59964,134.37
133.72256,127.83
133.68048,129.35
133.39601,129.74
132.8877,129.49
132.22336,130.83
131.52583,130.0
130.8844,129.66
130.34955,129.49
129.94116,129.45
129.65948,130.79
129.52661,130.74
129.54683,130.0
129.68275,128.69
129.85138,129.49
130.00322,128.2
130.0806,127.01
130.02443,127.0
129.81607,125.5
129.44019,124.12
128.88574,124.85
128.1993,126.87
127.50069,126.81
126.89798,125.73
126.435295,128.17
126.1778,128.06
126.15177,127.24
126.31951,125.73
126.578125,124.41
126.798225,122.41
126.844795,122.16
126.64814,120.94
126.186874,119.68
125.474174,121.99
124.622284,125.59
123.837494,124.47
123.25872,124.73
122.95623,126.53
122.9756,127.42
123.32483,127.64
123.96024,127.24
124.78276,127.53
125.6804,127.48
126.546005,127.3
127.29081,128.46
127.88853,130.82
128.39905,130.36
128.86382,131.07
129.31578,131.32
129.76784,130.76
130.1951,130.62
130.56053,130.48
130.83202,131.45
131.01918,131.59
131.14626,132.5
131.25923,132.64
131.39343,132.81
131.5671,132.4
131.76712,131.82
131.95479,132.57
132.11732,133.63
132.27951,134.55
132.48613,134.81
132.76613,135.22
133.12917,134.18
133.528,141.2
134.1028,141.39
134.94939,141.78
136.07451,141.35
137.37927,141.07
138.70525,142.18
139.93185,142.29
140.97047,141.24
141.7338,140.96
142.17519,140.2
142.2809,140.33
142.09578,136.51
141.589,133.74
140.71292,130.64
139.43112,131.9
137.85112,132.68
136.164,129.24
134.47644,127.47
132.84142,127.58
131.31871,125.01
129.91345,126.75
128.67989,128.5
127.71493,128.84
127.09495,128.58
126.838005,128.32
126.902596,127.31
127.18563,124.85
