Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-06,,,,,,0.65,0
2010-08-09,93.68,94.79,93.4,94.55,6131700.0,0.0,0
2010-08-10,93.96,94.9,93.66,94.43,5471700.0,0.0,0
2010-08-11,93.61,93.61,92.73,92.99,6316100.0,0.0,0
2010-08-12,91.46,92.24,91.34,91.9,5132200.0,0.0,0
2010-08-13,91.65,92.01,91.2,91.59,4669400.0,0.0,0
2010-08-16,91.3,91.85,90.94,91.52,4009200.0,0.0,0
2010-08-17,92.27,93.01,91.61,92.0,4298300.0,0.0,0
2010-08-18,92.3,93.26,91.54,92.68,4883200.0,0.0,0
2010-08-19,92.16,92.82,91.69,92.32,5402400.0,0.0,0
2010-08-20,92.2,92.38,90.94,91.32,6246300.0,0.0,0
2010-08-23,91.37,91.7,90.56,90.58,4034400.0,0.0,0
2010-08-24,89.68,90.26,89.22,89.46,5621200.0,0.0,0
2010-08-25,89.22,89.96,88.82,89.72,5235300.0,0.0,0
2010-08-26,90.09,90.09,87.94,87.94,7746600.0,0.0,0
2010-08-27,88.69,89.39,87.68,89.34,6214200.0,0.0,0
2010-08-30,89.59,89.72,88.39,88.39,3604000.0,0.0,0
2010-08-31,88.32,88.81,87.58,88.19,5624200.0,0.0,0
2010-09-01,89.75,90.47,89.19,90.08,5623100.0,0.0,0
2010-09-02,90.27,90.41,89.28,89.56,5103300.0,0.0,0
2010-09-03,90.41,91.39,90.18,91.38,5142900.0,0.0,0
2010-09-07,90.96,91.22,90.16,90.21,4353300.0,0.0,0
2010-09-08,90.26,90.62,89.81,90.31,4477500.0,0.0,0
2010-09-09,91.16,91.37,90.36,90.51,3436700.0,0.0,0
2010-09-10,90.96,91.89,90.43,91.67,4418700.0,0.0,0
2010-09-13,92.13,93.11,92.05,92.83,5271300.0,0.0,0
2010-09-14,91.99,93.06,91.99,92.29,4850500.0,0.0,0
2010-09-15,92.15,93.08,92.07,92.7,4762500.0,0.0,0
2010-09-16,92.54,93.08,92.25,92.88,4685000.0,0.0,0
2010-09-17,93.06,93.54,92.9,93.25,10397400.0,0.0,0
2010-09-20,93.28,94.61,93.19,94.39,7145500.0,0.0,0
2010-09-21,94.15,95.12,93.67,94.53,5267900.0,0.0,0
2010-09-22,94.27,94.96,94.12,94.95,4922400.0,0.0,0
2010-09-23,94.13,95.1,93.99,94.31,3898800.0,0.0,0
2010-09-24,94.85,96.09,94.79,96.06,7122400.0,0.0,0
2010-09-27,95.63,96.69,95.63,96.44,6155400.0,0.0,0
2010-09-28,96.46,96.79,95.77,96.62,7481300.0,0.0,0
2010-09-29,96.26,97.27,96.22,97.04,5151200.0,0.0,0
2010-09-30,97.05,97.49,95.74,96.08,6425800.0,0.0,0
2010-10-01,97.06,97.61,96.76,97.15,5621200.0,0.0,0
2010-10-04,96.86,97.35,96.26,96.87,4059900.0,0.0,0
2010-10-05,97.54,98.77,97.5,98.6,6202500.0,0.0,0
2010-10-06,98.04,98.81,98.0,98.73,4783000.0,0.0,0
2010-10-07,98.79,99.47,98.5,99.36,6440800.0,0.0,0
2010-10-08,99.13,99.62,98.89,99.45,4540800.0,0.0,0
2010-10-11,99.41,100.23,99.3,100.03,4004300.0,0.0,0
2010-10-12,99.13,100.27,99.04,100.17,5637300.0,0.0,0
2010-10-13,100.21,101.34,100.12,100.54,8784300.0,0.0,0
2010-10-14,100.53,101.35,100.05,101.35,5653100.0,0.0,0
2010-10-15,101.78,101.78,100.66,101.03,7220400.0,0.0,0
2010-10-18,100.92,102.45,100.88,102.3,10322700.0,0.0,0
2010-10-19,98.34,99.8,97.91,98.86,14159100.0,0.0,0
2010-10-20,99.04,100.18,98.94,99.61,6945500.0,0.0,0
2010-10-21,100.14,100.63,99.13,100.15,6221200.0,0.0,0
2010-10-22,100.38,100.81,99.89,100.04,4105300.0,0.0,0
2010-10-25,100.58,101.28,100.14,100.16,4870000.0,0.0,0
2010-10-26,99.77,101.71,99.22,100.76,7327100.0,0.0,0
2010-10-27,99.93,101.4,99.56,101.3,6465300.0,0.0,0
2010-10-28,101.59,101.67,100.58,100.92,5481600.0,0.0,0
2010-10-29,100.92,103.14,100.81,102.85,8439300.0,0.0,0
2010-11-01,102.88,103.33,101.94,102.65,5674600.0,0.0,0
2010-11-02,103.03,103.65,102.93,103.03,4626400.0,0.0,0
2010-11-03,103.31,103.47,102.16,103.26,5182100.0,0.0,0
2010-11-04,103.73,105.17,103.65,105.14,6622500.0,0.0,0
2010-11-05,104.53,105.24,104.34,105.23,4995800.0,0.0,0
2010-11-08,104.57,105.45,104.5,105.37,4459700.0,0.65,0
2010-11-09,105.54,106.14,104.77,105.14,5700600.0,0.0,0
2010-11-10,105.1,105.61,104.77,105.43,5172000.0,0.0,0
