Predicted,Actual
149.42252,150.04
149.3729,149.67
149.3887,150.24
149.44968,151.61
149.54358,150.13
149.65572,150.65
149.7756,149.08
149.88722,149.85
149.9797,151.1
150.05264,149.07
150.1001,149.14
150.1175,148.24
150.09958,148.55
150.04204,149.39
149.95009,148.99
149.83113,151.23
149.70372,150.75
149.58496,150.89
149.4898,150.76
149.42804,152.15
149.4111,152.48
149.44807,154.14
149.54921,153.56
149.71873,153.72
149.95654,153.68
150.25433,152.87
150.59369,151.13
150.94601,152.55
151.2889,152.86
151.60577,154.16
151.89168,155.22
152.1511,154.75
152.39021,155.02
152.6148,154.82
152.82677,156.2
153.03546,156.71
153.24863,157.58
153.47673,157.96
153.72775,157.42
154.00331,158.51
154.30382,156.16
154.6169,152.85
154.90915,151.53
155.13995,152.05
155.27928,153.49
155.3146,155.88
155.25743,157.02
155.13654,157.68
154.98611,159.42
154.84796,158.67
154.75366,159.74
154.73033,161.3
154.79962,159.37
154.96425,159.13
155.21341,157.97
155.52377,159.26
155.87149,159.27
156.23561,161.1
156.60434,164.77
156.98773,159.43
157.37503,157.05
157.73602,157.78
158.04384,156.58
158.2716,157.57
158.40536,159.65
158.45175,159.41
158.42444,160.93
158.3499,164.01
158.26865,168.74
158.24147,170.11
158.3279,167.27
158.55797,167.65
158.93831,166.23
159.45087,171.3
160.08534,169.25
160.81712,169.04
161.6128,169.96
162.43936,172.47
163.27509,175.32
164.11644,176.55
164.96657,178.19
165.83379,178.15
166.72073,176.22
167.61179,176.49
168.48485,175.29
169.30914,175.8
170.05771,179.86
170.7271,177.88
171.31305,175.52
171.80228,174.86
172.17934,174.74
172.43446,175.64
172.56813,178.16
172.5996,182.71
172.5753,181.55
172.53914,181.32
172.52525,179.09
172.54662,176.15
172.5904,178.65
172.64659,176.36
172.69658,179.84
172.7371,177.3
172.75974,177.36
172.75815,178.58
172.73303,176.21
172.67886,175.67
172.58789,174.42
172.4506,171.78
172.24895,167.27
171.9502,167.96
171.53444,163.96
170.97581,167.04
170.27603,169.94
169.46935,169.61
168.60101,169.08
167.71788,169.12
166.86482,169.68
166.08145,171.72
165.40862,175.4
164.89474,174.05
164.57243,173.35
164.45227,174.08
164.52777,174.88
164.78423,174.93
165.1945,174.41
165.726,172.79
166.33067,176.44
166.97697,175.68
167.6359,178.12
168.29358,180.12
168.9501,181.96
169.61476,176.46
170.26978,176.67
170.89035,176.32
171.44876,173.75
171.91151,173.07
172.2475,170.9
172.42674,171.3
172.4364,171.15
172.27583,169.65
171.95079,168.47
171.47273,168.92
170.86357,168.49
170.15117,167.72
169.3647,167.66
168.53648,170.89
167.71152,174.58
166.95221,173.0
166.30852,173.94
165.81833,176.38
165.51752,177.3
165.4274,176.82
165.55284,176.47
165.87614,176.68
166.36658,179.07
166.9965,179.03
167.73247,175.2
168.52098,176.55
169.31271,176.67
170.06546,174.37
170.73384,174.61
171.28624,176.23
171.70741,177.06
172.0018,176.54
172.18147,177.79
172.26762,180.41
172.29567,178.55
172.29285,177.89
172.27638,178.92
172.26155,180.39
172.26715,180.68
172.307,181.06
172.39066,182.02
172.52615,182.34
172.71736,184.56
172.97177,184.8
173.29309,183.26
173.66971,183.23
174.08496,183.39
174.51736,184.65
174.9519,185.0
175.377,183.73
175.77844,184.86
176.14479,183.62
176.4642,183.92
176.72865,186.03
176.94217,186.74
177.11699,186.25
177.2631,186.03
177.38847,188.19
177.50781,188.49
177.63516,189.72
177.7855,190.61
177.97339,192.53
178.21516,192.05
178.51775,192.9
178.8822,190.01
179.28963,188.38
179.70741,189.49
180.10458,190.65
180.4613,192.04
180.77151,191.79
181.03409,191.22
181.24791,191.16
181.41312,192.07
181.53497,192.88
181.62477,191.74
181.68892,193.39
181.73747,192.91
181.77916,193.26
181.82162,194.88
181.87607,193.55
181.94615,192.86
182.02841,193.89
182.12065,192.35
182.21281,189.99
182.28401,190.14
182.31598,192.62
182.30562,193.55
182.26176,194.17
182.20045,195.23
182.143,195.27
182.10814,198.57
182.12354,201.1
182.22241,197.39
182.4117,199.53
182.69318,200.22
183.06204,199.05
183.49976,200.76
183.98912,200.03
184.50731,199.66
185.02887,200.03
185.53076,200.6
185.99516,199.79
186.406,199.83
186.75066,200.51
187.02435,199.71
187.22441,201.88
187.36052,203.8
187.4541,201.74
187.51825,204.73
187.57527,207.15
187.65443,206.12
187.77525,206.85
187.94992,207.1
188.18277,209.27
188.47832,207.53
188.8277,208.45
189.2177,208.35
189.6312,208.79
190.05148,208.89
190.4624,210.35
190.85532,208.61
191.21625,210.51
191.53987,208.66
191.81628,207.21
192.031,212.67
192.19505,210.76
192.31721,209.09
192.39935,206.94
192.43246,206.06
192.40427,206.18
192.30722,208.46
192.14902,205.4
191.93169,208.09
191.67097,212.04
191.40276,212.79
191.16667,215.1
191.00578,214.67
190.95087,213.64
191.0128,210.76
191.17516,213.87
191.42279,214.66
191.74023,213.55
192.10555,214.57
192.49928,215.19
192.90405,213.86
193.29973,210.84
193.65488,212.3
193.94676,211.37
194.15779,214.5
194.2906,215.6
194.3609,213.77
194.38086,213.35
194.35983,216.01
194.31659,215.61
194.26831,216.29
194.23132,211.32
194.19696,205.69
194.12846,207.86
193.99821,208.44
193.79126,205.31
193.49313,204.03
193.0939,206.63
192.60425,206.36
192.0458,206.33
191.44618,205.07
190.83058,208.44
190.23611,207.97
189.69754,210.13
189.25154,208.99
188.92184,209.09
188.72021,207.1
188.63927,203.96
188.64772,202.87
188.70544,206.81
188.79053,207.07
188.89041,206.95
188.99924,207.66
189.11539,207.72
189.23935,208.96
189.37656,204.03
189.5112,205.56
189.6303,203.05
189.71448,204.52
189.75218,202.85
189.73315,205.7
189.6649,201.18
189.54231,196.29
189.34186,195.73
189.04112,192.36
188.61505,191.26
188.04573,188.34
187.32071,189.6
186.4477,193.63
185.46735,194.0
184.43626,186.53
183.38332,186.03
182.32784,189.61
181.30228,191.98
180.35269,190.89
179.51743,189.93
178.82239,189.32
178.27917,190.07
177.89117,191.5
177.66006,190.86
177.57932,190.49
177.63235,190.49
177.79797,189.89
178.04794,190.57
178.35472,189.5
178.69061,190.24
179.0337,188.34
179.35706,190.55
179.6474,193.99
179.91539,192.88
180.17096,191.81
180.41782,191.11
180.65158,192.01
180.87158,192.06
181.07538,193.16
181.26659,192.13
181.44327,193.17
181.60742,192.75
181.75882,193.53
181.89915,195.06
182.03638,195.07
182.17967,194.08
182.32977,192.96
182.47852,196.01
182.62886,195.01
182.78043,193.42
182.92523,194.09
183.05452,194.8
183.16606,195.05
183.2594,194.28
183.33324,195.47
183.39032,196.84
183.44238,197.04
183.50026,199.29
183.5814,200.03
183.70453,204.21
183.89888,205.77
184.19374,204.73
184.59985,202.83
185.104,204.67
185.68817,207.42
186.33948,208.71
187.0446,208.66
187.78714,210.43
188.55452,207.84
189.32007,211.44
190.06825,205.18
190.7592,207.2
191.36143,208.98
191.85968,211.26
192.25806,212.76
192.5738,212.24
192.82439,213.34
193.02983,212.88
193.20459,211.97
193.35464,209.84
193.47215,208.63
193.5423,211.26
193.56195,213.23
193.54236,213.94
193.50166,214.72
193.46008,213.16
193.42813,214.03
193.41406,213.38
193.4197,212.48
193.43903,207.88
193.4452,211.83
193.42648,210.16
193.37234,205.04
193.25616,194.7
193.01451,192.53
192.58449,200.66
191.95886,200.59
191.16139,201.3
190.23772,191.62
189.2055,186.43
188.05984,189.69
186.81349,191.66
185.50159,173.62
184.097,177.08
182.5843,156.06
180.88158,147.04
178.88335,136.59
176.47816,134.3
173.5927,152.57
170.28262,142.0
166.63094,148.01
162.7721,163.91
158.92522,162.9
155.31999,161.7
152.15501,163.83
149.59206,165.73
147.74763,159.16
146.64867,153.97
146.23082,159.25
146.40733,168.08
147.10843,183.31
148.34172,173.85
150.05417,179.53
152.19008,181.47
154.67824,182.53
157.43156,177.56
160.32248,175.83
163.20433,181.11
165.96707,183.23
168.53432,176.2
170.82085,179.55
172.77449,184.93
174.39262,182.05
175.68475,183.92
176.67905,188.74
177.43202,187.28
177.99751,180.79
178.392,182.78
178.63138,180.11
178.71848,182.31
178.66649,179.4
178.47992,178.31
178.16382,181.99
177.74359,178.18
177.236,180.76
176.6685,175.01
176.04729,169.07
175.35231,171.9
174.57513,178.87
173.75156,178.93
172.92908,180.79
172.16444,182.96
171.51993,183.26
171.04956,188.33
170.80257,187.49
170.81656,188.17
171.0967,187.43
171.62482,186.71
172.35631,188.4
173.23877,188.47
174.22804,192.32
175.28226,198.0
176.3927,195.68
177.54845,200.37
178.74634,199.13
179.97177,190.9
181.16548,191.67
182.26611,184.6
183.18718,192.0
183.88762,191.92
184.35645,190.01
184.59409,192.29
184.62988,186.0
184.46797,189.55
184.1364,184.96
183.65132,183.51
183.02628,182.37
182.27333,180.57
181.40387,182.92
