Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-09,53.49,54.18,53.45,53.87,8921200,0.0,0
2010-08-10,53.56,53.91,53.17,53.81,5689700,0.0,0
2010-08-11,53.2,53.43,52.82,52.87,5478000,0.0,0
2010-08-12,52.48,53.3,52.48,53.23,5641400,0.0,0
2010-08-13,52.96,53.54,52.96,53.11,5937300,0.0,0
2010-08-16,53.01,53.28,52.85,53.04,4935700,0.0,0
2010-08-17,53.25,54.4,53.0,54.09,7392900,0.0,0
2010-08-18,54.1,54.54,53.78,54.11,6030800,0.0,0
2010-08-19,54.04,54.22,53.52,53.91,6950500,0.0,0
2010-08-20,53.83,54.08,53.69,53.99,5566300,0.0,0
2010-08-23,54.32,54.62,54.17,54.18,5404300,0.0,0
2010-08-24,53.74,54.0,53.33,53.72,5846200,0.0,0
2010-08-25,53.41,54.26,53.41,54.07,6704600,0.0,0
2010-08-26,54.44,54.49,54.01,54.05,5215600,0.0,0
2010-08-27,54.28,54.72,53.83,54.66,6592900,0.0,0
2010-08-30,54.56,54.68,54.14,54.14,4192900,0.55,0
2010-08-31,54.01,54.57,54.0,54.38,5598100,0.0,0
2010-09-01,55.02,55.52,54.87,55.48,6746800,0.0,0
2010-09-02,55.64,55.87,55.29,55.84,5885200,0.0,0
2010-09-03,55.75,56.08,55.39,55.89,7328100,0.0,0
2010-09-07,55.8,56.55,55.77,56.42,7188700,0.0,0
2010-09-08,56.52,56.76,56.38,56.63,6808700,0.0,0
2010-09-09,55.33,56.63,54.82,55.35,14615200,0.0,0
2010-09-10,55.22,55.92,55.21,55.83,7483900,0.0,0
2010-09-13,56.01,56.07,55.08,55.5,7851500,0.0,0
2010-09-14,55.43,55.5,54.94,55.03,6543500,0.0,0
2010-09-15,54.87,55.7,54.86,55.61,4549400,0.0,0
2010-09-16,55.54,55.75,55.34,55.67,5073300,0.0,0
2010-09-17,55.52,55.67,55.17,55.32,7933500,0.0,0
2010-09-20,55.32,56.08,55.3,55.9,4211200,0.0,0
2010-09-21,56.06,56.38,55.73,56.2,5297300,0.0,0
2010-09-22,56.09,56.4,55.82,55.92,5141600,0.0,0
2010-09-23,55.94,56.14,55.51,55.55,5921600,0.0,0
2010-09-24,56.12,56.15,55.78,55.9,5843400,0.0,0
2010-09-27,55.99,56.11,55.64,55.64,5957400,0.0,0
2010-09-28,55.79,55.79,55.24,55.55,7047500,0.0,0
2010-09-29,55.5,55.64,55.3,55.41,4668100,0.0,0
2010-09-30,55.46,55.8,54.98,55.46,7237700,0.0,0
2010-10-01,55.85,55.97,55.48,55.76,7192400,0.0,0
2010-10-04,55.75,55.92,55.38,55.78,3900300,0.0,0
2010-10-05,56.11,56.54,56.01,56.43,5680000,0.0,0
2010-10-06,56.41,56.53,56.12,56.24,4732700,0.0,0
2010-10-07,56.2,56.56,56.2,56.46,4477200,0.0,0
2010-10-08,56.5,56.8,56.3,56.64,4118200,0.0,0
2010-10-11,56.57,56.75,56.02,56.26,3653400,0.0,0
2010-10-12,56.35,56.43,55.73,56.25,4703500,0.0,0
2010-10-13,56.48,56.62,56.13,56.38,4370700,0.0,0
2010-10-14,56.39,57.38,56.32,57.34,6616400,0.0,0
2010-10-15,57.66,57.88,57.26,57.67,6259200,0.0,0
2010-10-18,57.71,58.01,57.43,57.55,5375200,0.0,0
2010-10-19,57.37,57.77,57.07,57.3,5226000,0.0,0
2010-10-20,57.51,58.16,57.44,57.62,6420300,0.0,0
2010-10-21,58.38,59.16,58.26,58.38,7697000,0.0,0
2010-10-22,58.09,58.61,57.94,58.46,4224000,0.0,0
2010-10-25,58.79,58.98,58.52,58.58,4103000,0.0,0
2010-10-26,58.49,58.8,58.49,58.62,4030200,0.0,0
2010-10-27,58.4,58.52,57.31,57.67,8459200,0.0,0
2010-10-28,57.85,57.88,57.4,57.67,5346300,0.0,0
2010-10-29,57.76,59.47,57.61,57.88,4335000,0.0,0
2010-11-01,58.1,58.52,57.59,57.97,4957800,0.0,0
2010-11-02,58.34,58.62,58.26,58.35,3701400,0.0,0
2010-11-03,58.36,58.58,57.92,58.43,4060500,0.0,0
2010-11-04,58.89,59.15,58.68,58.93,5607000,0.0,0
2010-11-05,59.09,59.09,58.65,59.02,5243200,0.0,0
2010-11-08,58.75,59.1,58.58,59.03,4865700,0.0,0
