Predicted,Actual
54.320015,54.64
54.53013,54.89
54.67733,54.35
54.754696,55.24
54.787956,54.49
54.7793,58.68
54.861443,58.84
55.132816,58.31
55.597965,59.41
56.234604,59.15
56.96767,59.53
57.71427,60.26
58.4192,61.3
59.07248,61.36
59.66231,60.69
60.144035,60.59
60.47797,60.17
60.63425,60.64
60.633747,60.58
60.51777,60.63
60.337257,61.3
60.16349,60.96
60.036045,61.74
59.999184,61.51
60.0616,61.63
60.211666,62.34
60.447746,62.36
60.75221,62.7
61.105125,63.81
61.516518,64.84
62.01418,64.19
62.562595,63.28
63.06497,64.56
63.488926,65.56
63.85919,66.54
64.232574,65.59
64.59398,66.37
64.939606,67.47
65.29939,67.71
65.68765,69.2
66.151726,70.0
66.725975,70.29
67.39957,69.31
68.06875,70.79
68.69333,69.95
69.19921,70.28
69.551,68.64
69.66969,68.22
69.52027,68.26
69.141136,67.79
68.59949,67.16
67.961784,68.05
67.34533,68.0
66.845856,69.12
66.567635,67.62
66.49214,67.99
66.582016,66.48
66.72093,66.46
66.81913,64.59
66.758545,62.32
66.40962,61.56
65.7331,60.33
64.756516,60.84
63.609848,62.34
62.502323,61.69
61.58158,61.47
60.925915,61.7
60.56434,59.79
60.411884,61.87
60.445698,59.93
60.568363,57.76
60.617577,59.64
60.559124,58.57
60.37686,59.09
60.107674,59.36
59.813053,60.05
59.570168,59.24
59.39972,59.5
59.30687,59.64
59.286438,54.47
59.147465,54.27
58.760586,52.94
58.068336,51.41
57.07511,51.51
55.873363,50.56
54.573124,51.77
53.32695,52.45
52.283077,50.9
51.49648,51.85
50.998497,51.44
50.772602,52.4
50.798176,52.21
51.025932,52.49
51.3955,54.37
51.893753,54.68
52.500988,56.83
53.23826,55.4
54.04066,53.18
54.74184,53.75
55.22473,54.85
55.47469,55.49
55.545776,55.48
55.504436,55.2
55.39849,54.65
55.245758,54.68
55.060654,54.77
54.862885,54.63
54.66817,54.32
54.48196,53.41
54.283016,50.98
53.99037,51.5
53.58221,52.73
53.120422,53.48
52.703583,54.23
52.430138,53.36
52.327545,53.12
52.37314,53.64
52.536922,53.54
52.77593,53.84
53.05386,53.41
53.32337,53.35
53.544594,53.61
53.702003,54.13
53.80996,54.42
53.895054,52.93
53.93064,52.19
53.87239,52.59
53.714825,52.19
53.468124,50.24
53.105396,49.32
52.60451,48.35
51.9603,47.77
51.19629,47.94
50.374622,47.17
49.552517,48.61
48.822704,47.07
48.221695,47.19
47.764202,47.21
47.450226,48.36
47.29694,48.26
47.303055,47.7
47.431084,47.99
47.6381,48.7
47.89886,49.37
48.205685,48.89
48.530785,49.44
48.85469,49.37
49.154976,49.61
49.41665,49.84
49.634277,50.02
49.80954,51.06
49.97271,50.39
50.125748,50.27
50.256092,50.32
50.351807,51.27
50.43276,51.82
50.532505,51.17
50.651127,51.76
50.79196,52.66
50.975918,51.34
51.170918,51.59
51.345848,52.5
51.504955,52.85
51.666252,53.33
51.85339,52.82
52.05854,54.38
52.3079,54.91
52.627438,54.77
53.010635,54.97
53.432285,55.4
53.867466,54.34
54.25159,54.89
54.549076,55.08
54.751842,54.77
54.857502,54.75
54.875244,55.36
54.842834,55.69
54.806698,55.9
54.80532,55.47
54.842625,55.69
54.914642,55.5
55.004498,55.29
55.08807,55.43
55.15252,54.21
55.155556,54.05
55.070393,54.88
54.924454,55.19
54.767986,75.7
55.317947,75.61
57.13621,76.67
60.427845,80.58
65.09245,83.6
70.70183,82.76
76.3788,81.17
81.06501,82.98
84.166466,83.54
85.588936,83.72
85.59307,84.04
84.6264,84.29
83.16704,82.91
81.541504,83.75
80.063416,81.49
78.82874,80.07
77.83077,80.08
77.08447,79.95
76.61266,80.94
76.48498,82.17
76.78653,80.48
77.417656,77.31
78.060745,74.87
78.362785,75.79
78.23461,66.4
77.30235,64.37
75.478,66.2
73.078,64.0
70.43116,62.77
67.82166,63.36
65.510185,63.18
63.676094,64.44
62.45862,64.94
61.920116,65.95
62.05841,64.86
62.728924,65.61
63.744316,66.88
64.94214,69.38
66.2574,67.39
67.508675,67.82
68.53737,66.25
69.167,66.96
69.35397,67.54
69.17239,70.14
68.84869,70.94
68.59454,70.08
68.48547,70.72
68.54566,70.98
68.75609,71.49
69.08504,73.02
69.545784,73.33
70.133156,78.19
71.01263,74.9
72.06884,74.7
73.10373,71.92
73.8013,73.64
74.0785,74.09
74.00191,74.47
73.71485,72.23
73.25037,71.96
72.653595,72.84
72.03877,72.8
71.50925,76.15
71.288,72.66
71.32651,72.13
71.495605,72.75
71.710236,73.02
71.92748,71.73
72.064735,73.51
72.16354,72.8
72.23483,72.85
72.286224,72.28
72.29539,72.53
72.263,66.76
71.940056,68.27
71.2862,67.82
70.37319,67.38
69.32263,65.19
68.188614,67.42
67.14153,68.34
66.35976,68.81
65.96375,67.74
65.93693,68.47
66.22434,69.24
66.76127,69.64
