Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-09,29.49,30.31,29.46,30.16,18715600,0.0,0
2010-08-10,29.97,30.35,29.65,30.19,17159200,0.0,0
2010-08-11,29.74,29.93,29.17,29.87,21455400,0.0,0
2010-08-12,28.71,29.51,28.68,29.02,19582900,0.0,0
2010-08-13,28.83,29.09,28.71,28.8,16372000,0.0,0
2010-08-16,28.74,29.51,28.42,29.32,14222100,0.0,0
2010-08-17,29.56,30.19,29.54,29.7,22319800,0.0,0
2010-08-18,29.67,29.9,29.3,29.62,13506000,0.0,0
2010-08-19,29.4,29.47,28.62,28.92,21575900,0.0,0
2010-08-20,28.92,29.66,28.83,29.52,19152600,0.0,0
2010-08-23,29.74,29.93,29.15,29.24,12942000,0.0,0
2010-08-24,29.14,29.2,28.65,28.86,15738700,0.0,0
2010-08-25,28.73,29.54,28.71,29.33,18753000,0.19,0
2010-08-26,29.49,29.6,28.96,29.19,14506600,0.0,0
2010-08-27,29.36,29.63,28.78,29.47,16263700,0.0,0
2010-08-30,29.28,29.57,29.2,29.2,11909900,0.0,0
2010-08-31,29.12,29.56,28.83,29.21,18049100,0.0,0
2010-09-01,29.71,30.62,29.68,30.2,27619100,0.0,0
2010-09-02,30.27,30.53,30.08,30.52,12671500,0.0,0
2010-09-03,30.72,30.86,30.32,30.79,14187700,0.0,0
2010-09-07,30.59,31.13,30.44,30.94,18520500,0.0,0
2010-09-08,30.99,31.37,30.98,31.21,14073500,0.0,0
2010-09-09,31.39,31.43,30.9,31.19,12190400,0.0,0
2010-09-10,31.28,31.3,30.56,30.82,15098000,0.0,0
2010-09-13,31.22,31.54,31.07,31.27,16787200,0.0,0
2010-09-14,31.15,31.56,30.95,31.35,12885900,0.0,0
2010-09-15,31.34,32.19,31.27,32.01,18992800,0.0,0
2010-09-16,31.88,32.26,31.76,32.01,16596100,0.0,0
2010-09-17,32.12,32.6,31.98,32.43,31733900,0.0,0
