Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-12-04,49.39,51.31,49.37,51.02,43963700,0.0,0
2015-12-07,50.91,51.07,50.45,50.93,30709800,0.0,0
2015-12-08,50.62,51.19,50.18,50.91,32878000,0.0,0
2015-12-09,50.53,50.98,49.74,50.17,36373200,0.0,0
2015-12-10,50.55,50.79,50.2,50.44,31775800,0.0,0
2015-12-11,49.92,50.28,49.29,49.33,39549500,0.0,0
2015-12-14,49.58,50.38,48.98,50.32,46768900,0.0,0
2015-12-15,50.79,51.01,50.27,50.37,39843000,0.0,0
2015-12-16,50.68,51.33,49.97,51.22,37503300,0.0,0
2015-12-17,51.43,51.82,50.67,50.83,41280900,0.0,0
2015-12-18,50.89,51.1,49.3,49.4,84684200,0.0,0
2015-12-21,50.08,50.51,49.49,50.03,37246300,0.0,0
2015-12-22,50.18,50.63,49.73,50.51,28322200,0.0,0
2015-12-23,50.83,50.99,50.59,50.94,27279800,0.0,0
2015-12-24,50.97,51.07,50.58,50.8,9558500,0.0,0
2015-12-28,50.51,51.06,50.17,51.06,22458300,0.0,0
2015-12-29,51.37,51.88,51.16,51.6,27731400,0.0,0
2015-12-30,51.53,51.81,51.37,51.38,21704500,0.0,0
2015-12-31,51.14,51.28,50.57,50.63,27334100,0.0,0
2016-01-04,49.57,50.01,48.72,50.01,53778000,0.0,0
2016-01-05,50.13,50.55,49.77,50.23,34079700,0.0,0
2016-01-06,49.57,49.64,48.95,49.32,39518900,0.0,0
2016-01-07,48.09,48.81,47.52,47.61,56564900,0.0,0
2016-01-08,47.79,48.62,47.59,47.75,48754000,0.0,0
2016-01-11,47.92,48.23,46.96,47.73,36943800,0.0,0
2016-01-12,48.15,48.46,47.51,48.16,36095500,0.0,0
2016-01-13,49.09,49.34,46.81,47.12,66883600,0.0,0
2016-01-14,47.45,48.75,47.06,48.46,52381900,0.0,0
2016-01-15,46.82,47.42,45.94,46.53,71820700,0.0,0
2016-01-19,46.98,47.16,45.68,46.14,43564500,0.0,0
2016-01-20,45.61,46.89,44.81,46.35,63273000,0.0,0
2016-01-21,46.54,47.07,45.9,46.06,40191200,0.0,0
2016-01-22,46.91,47.75,46.78,47.72,37555800,0.0,0
2016-01-25,47.4,48.04,47.13,47.26,34707700,0.0,0
2016-01-26,47.26,47.85,47.04,47.61,28900800,0.0,0
2016-01-27,47.46,47.63,46.56,46.74,36775200,0.0,0
2016-01-28,47.32,47.64,46.77,47.51,62513800,0.0,0
2016-01-29,49.94,50.27,49.28,50.27,83611700,0.0,0
2016-02-01,50.08,50.27,49.73,49.92,44208500,0.0,0
2016-02-02,49.43,49.51,48.04,48.36,56313800,0.0,0
2016-02-03,48.59,48.72,46.78,47.6,57559800,0.0,0
2016-02-04,47.54,48.19,46.88,47.45,46987100,0.0,0
2016-02-05,47.4,47.45,45.23,45.77,62009000,0.0,0
2016-02-08,45.22,45.23,43.97,45.09,59290500,0.0,0
2016-02-09,44.73,45.85,44.41,44.97,46740500,0.0,0
2016-02-10,45.53,45.98,45.19,45.36,38237000,0.0,0
2016-02-11,44.42,45.73,44.27,45.34,48878600,0.0,0
2016-02-12,45.85,46.25,45.4,46.08,34243300,0.0,0
2016-02-16,46.78,46.96,46.07,46.96,37291200,0.36,0
2016-02-17,47.32,48.5,47.29,48.18,40789000,0.0,0
2016-02-18,48.1,48.67,47.88,47.97,27176000,0.0,0
2016-02-19,47.76,48.05,47.36,47.63,33559100,0.0,0
2016-02-22,48.05,48.71,48.05,48.39,25008300,0.0,0
2016-02-23,48.1,48.13,46.85,47.04,28895300,0.0,0
2016-02-24,46.59,47.33,46.14,47.2,33014500,0.0,0
2016-02-25,47.54,47.88,46.51,47.88,26939500,0.0,0
2016-02-26,48.34,48.42,46.97,47.15,35975900,0.0,0
2016-02-29,47.19,47.47,46.56,46.76,31654000,0.0,0
2016-03-01,46.85,48.33,46.8,48.33,33024500,0.0,0
2016-03-02,48.17,48.67,47.94,48.67,29289900,0.0,0
2016-03-03,48.68,48.68,47.59,48.11,24427800,0.0,0
2016-03-04,48.16,48.21,47.53,47.82,33034200,0.0,0
2016-03-07,47.39,47.61,46.49,46.9,38407800,0.0,0
2016-03-08,46.69,47.91,46.51,47.47,33835100,0.0,0
2016-03-09,47.69,48.57,47.66,48.56,28251600,0.0,0
2016-03-10,48.65,48.66,47.02,47.84,38387800,0.0,0
2016-03-11,48.71,48.78,48.14,48.78,32275700,0.0,0
2016-03-14,48.44,49.25,48.37,48.87,24083600,0.0,0
2016-03-15,48.48,49.25,48.47,49.25,21104800,0.0,0
2016-03-16,49.13,50.18,49.08,49.95,31691700,0.0,0
2016-03-17,49.82,50.55,49.63,50.24,28223900,0.0,0
2016-03-18,50.48,50.52,49.13,49.16,67625500,0.0,0
2016-03-21,48.94,49.57,48.65,49.5,23925700,0.0,0
2016-03-22,49.27,49.86,49.13,49.69,23124100,0.0,0
2016-03-23,49.73,49.85,49.39,49.6,20129000,0.0,0
2016-03-24,49.48,49.93,49.38,49.82,19950000,0.0,0
2016-03-28,49.82,49.9,49.01,49.21,17025100,0.0,0
2016-03-29,49.32,50.42,49.13,50.28,23924300,0.0,0
2016-03-30,50.49,51.14,50.46,50.6,23008300,0.0,0
2016-03-31,50.5,51.09,50.42,50.76,26360500,0.0,0
2016-04-01,50.6,51.11,50.15,51.07,24399200,0.0,0
2016-04-04,50.94,51.16,50.55,50.94,18928800,0.0,0
2016-04-05,50.72,50.83,50.05,50.15,19272300,0.0,0
2016-04-06,49.96,50.73,49.82,50.66,21188700,0.0,0
2016-04-07,50.43,50.47,49.84,50.05,19225100,0.0,0
2016-04-08,50.25,50.81,49.92,50.02,22167200,0.0,0
2016-04-11,50.08,50.69,49.91,49.92,21414200,0.0,0
2016-04-12,49.97,50.35,49.41,50.23,24944300,0.0,0
2016-04-13,50.66,50.95,50.45,50.87,20818000,0.0,0
2016-04-14,50.75,51.08,50.61,50.88,20877100,0.0,0
2016-04-15,50.83,51.4,50.65,51.15,28793800,0.0,0
2016-04-18,51.0,52.01,50.74,51.89,23786000,0.0,0
2016-04-19,52.05,52.18,51.17,51.83,29596800,0.0,0
2016-04-20,51.74,51.93,51.0,51.09,36195700,0.0,0
2016-04-21,51.28,51.68,50.94,51.27,38909100,0.0,0
2016-04-22,47.71,48.19,46.66,47.59,126834100,0.0,0
2016-04-25,47.59,47.91,47.45,47.89,33226900,0.0,0
2016-04-26,48.03,48.11,46.96,47.28,33532600,0.0,0
