Open,High,Low,Close,Volume,Dividends,Stock Splits
20.7,20.82,20.52,20.67,56877700,0.0,0
20.66,20.73,20.1,20.33,78531900,0.0,0
20.14,20.21,19.92,20.04,64922100,0.0,0
19.89,20.19,19.77,20.18,55982100,0.0,0
20.18,20.33,20.04,20.23,57096500,0.0,0
20.01,20.02,19.65,19.8,87257700,0.0,0
19.5,19.67,19.4,19.64,76746900,0.0,0
19.29,19.5,19.24,19.35,70240500,0.0,0
19.24,19.49,19.15,19.28,45263500,0.0,0
19.24,19.44,19.2,19.35,40909700,0.0,0
19.62,19.82,19.54,19.62,52912600,0.13,0
19.6,19.82,19.39,19.71,46818900,0.0,0
19.55,19.65,19.23,19.41,54064600,0.0,0
19.31,19.38,19.22,19.24,49560100,0.0,0
19.41,19.57,19.25,19.28,51643000,0.0,0
19.13,19.34,19.06,19.09,66522500,0.0,0
19.06,19.24,18.96,19.14,47404800,0.0,0
19.13,19.21,18.89,18.92,49105300,0.0,0
18.97,19.08,18.67,19.01,60939400,0.0,0
18.85,18.92,18.74,18.77,45453100,0.0,0
18.74,18.85,18.52,18.64,66074600,0.0,0
18.8,19.02,18.7,18.98,65235900,0.0,0
18.97,19.02,18.83,19.01,48837100,0.0,0
19.25,19.42,19.22,19.29,64189100,0.0,0
19.14,19.3,19.0,19.03,51928700,0.0,0
19.12,19.22,18.85,19.01,65512400,0.0,0
19.21,19.23,19.05,19.07,46028900,0.0,0
19.04,19.08,18.89,18.94,58284300,0.0,0
19.22,20.09,19.13,19.94,114680400,0.0,0
19.89,20.13,19.77,19.88,87160400,0.0,0
19.93,20.03,19.79,19.95,56201900,0.0,0
19.9,20.15,19.89,20.12,44548300,0.0,0
20.17,20.28,19.92,20.03,70341600,0.0,0
20.08,20.27,19.94,20.2,49838700,0.0,0
20.19,20.19,19.92,19.97,52675700,0.0,0
19.77,19.83,19.35,19.55,94299400,0.0,0
19.47,19.53,19.35,19.4,46201800,0.0,0
19.57,19.7,19.52,19.68,51948800,0.0,0
19.74,19.85,19.53,19.64,43603300,0.0,0
19.7,19.78,19.34,19.6,56041200,0.0,0
19.56,19.58,19.38,19.46,44318900,0.0,0
19.55,19.72,19.35,19.45,61262700,0.0,0
19.67,19.71,19.3,19.36,62672300,0.0,0
19.03,19.05,18.89,18.99,98143400,0.0,0
19.11,19.42,18.99,19.34,78152900,0.0,0
19.31,19.49,19.16,19.4,50489700,0.0,0
19.55,19.66,19.28,19.48,50096100,0.0,0
19.55,19.58,19.35,19.51,41327800,0.0,0
19.65,19.65,19.46,19.53,27587800,0.0,0
19.58,19.8,19.4,19.72,50141500,0.0,0
19.87,20.28,19.77,20.12,75336500,0.0,0
20.09,20.12,19.85,20.04,51949100,0.0,0
20.14,20.29,20.04,20.28,68954800,0.0,0
20.32,20.61,20.21,20.51,48330500,0.0,0
20.07,20.15,19.82,19.93,66150900,0.0,0
20.06,20.17,19.93,20.1,56283600,0.0,0
20.17,20.28,19.89,20.19,50032400,0.0,0
20.27,20.28,20.07,20.16,25837900,0.0,0
20.05,20.13,19.99,20.01,50912400,0.0,0
19.95,20.63,19.9,20.57,69304200,0.0,0
20.48,20.74,20.35,20.69,64805500,0.0,0
20.82,20.95,20.59,20.87,80730300,0.0,0
21.56,21.6,21.03,21.18,114193200,0.0,0
21.35,21.62,21.21,21.4,61912100,0.0,0
21.49,21.78,21.46,21.75,54402100,0.0,0
21.81,21.83,21.41,21.47,110255300,0.0,0
21.77,21.78,21.45,21.55,93599300,0.0,0
21.58,21.59,21.07,21.32,110953700,0.0,0
21.19,22.93,21.11,21.29,71670800,0.0,0
21.29,21.53,21.21,21.4,58538600,0.0,0
21.45,21.51,21.29,21.4,52277300,0.0,0
21.19,21.22,20.87,21.19,62073100,0.0,0
21.02,21.06,20.73,20.86,64962200,0.0,0
20.91,21.05,20.78,20.81,51794600,0.0,0
20.81,20.81,20.5,20.62,65339200,0.16,0
20.7,20.7,20.42,20.43,58299700,0.0,0
20.54,20.84,20.46,20.65,59514000,0.0,0
20.62,20.64,20.46,20.53,52423200,0.0,0
20.5,20.57,20.33,20.56,53350500,0.0,0
20.43,20.46,20.05,20.07,69742500,0.0,0
20.14,20.34,20.1,20.27,56825900,0.0,0
20.14,20.3,20.11,20.18,21356500,0.0,0
20.13,20.31,19.92,20.22,56603600,0.0,0
20.02,20.35,19.98,20.18,75282100,0.0,0
20.43,20.98,20.42,20.81,74123500,0.0,0
20.97,21.56,20.94,21.49,91759200,0.0,0
21.42,21.62,21.4,21.59,52622000,0.0,0
21.52,21.56,21.38,21.45,36264200,0.0,0
21.64,21.68,21.46,21.47,57860500,0.0,0
21.44,21.77,21.42,21.76,41666800,0.0,0
21.8,21.85,21.58,21.64,47148300,0.0,0
21.73,21.89,21.66,21.85,37625800,0.0,0
21.79,21.93,21.71,21.77,47943900,0.0,0
21.82,22.17,21.78,22.07,64070500,0.0,0
